,city name,Lat,Lng,MaxTemp,Humidity,Cloudiness,WindSpeed,Date,country
83,thinadhoo,0.5333,72.9333,81.54,80,87,15.23,1612032615,MV
84,victoria,22.2855,114.1577,62.01,77,14,16.73,1612032338,HK
85,bunia,1.5667,30.25,74.32,42,99,1.92,1612032616,CD
86,kununurra,-15.7667,128.7333,78.8,100,75,3.09,1612032616,AU
87,jumla,29.2747,82.1838,30.79,64,0,3.04,1612032616,NP
88,baisha,26.5222,110.9311,49.64,74,89,0.89,1612032616,CN
89,plettenberg bay,-34.0527,23.3716,66.36,79,0,1.19,1612032616,ZA
90,khatanga,71.9667,102.5,-45.87,77,23,0.78,1612032617,RU
91,airai,-8.9266,125.4092,61.95,100,100,5.14,1612032617,TL
92,east london,-33.0153,27.9116,71.6,83,40,5.75,1612032617,ZA
93,mar del plata,-38.0023,-57.5575,64.4,55,90,18.41,1612032617,AR
94,arraial do cabo,-22.9661,-42.0278,91.4,51,0,18.41,1612032617,BR
95,karera,25.4667,78.15,53.2,40,0,2.15,1612032618,IN
96,luchegorsk,46.4764,134.2569,-21.59,84,0,4.83,1612032618,RU
97,salalah,17.0151,54.0924,71.6,56,0,4.61,1612032618,OM
98,ballina,-28.8667,153.5667,71.6,94,90,1.12,1612032618,AU
99,dustlik,40.5247,68.0358,49.37,39,100,16.98,1612032618,UZ
100,isangel,-19.55,169.2667,77.0,83,75,9.93,1612032619,VU
101,port alfred,-33.5906,26.891,66.0,89,51,2.59,1612032619,ZA
102,chernyshevskiy,63.0128,112.4714,-32.17,85,100,4.85,1612032619,RU
103,kamaishi,39.2667,141.8833,28.02,90,29,9.06,1612032619,JP
104,srednekolymsk,67.45,153.6833,-39.51,82,100,2.64,1612032619,RU
105,portland,45.5234,-122.6762,46.99,76,90,16.11,1612032542,US
106,bokoro,12.3807,17.0568,79.81,17,0,10.92,1612032620,TD
107,mabaruma,8.2,-59.7833,84.2,74,75,13.8,1612032620,GY
108,praxedis guerrero,31.3667,-106.0167,57.0,25,1,11.5,1612032620,MX
109,portobelo,9.55,-79.65,89.01,53,6,3.0,1612032620,PA
110,hami,42.8,93.45,21.83,84,0,1.63,1612032620,CN
111,avarua,-21.2078,-159.775,82.4,74,100,2.3,1612032620,CK
112,kijang,35.2442,129.2139,30.2,80,0,4.61,1612032621,KR
113,cabo san lucas,22.8909,-109.9124,79.0,57,1,3.44,1612032462,MX
114,namatanai,-3.6667,152.4333,80.53,80,100,12.24,1612032621,PG
115,tupik,54.4253,119.9327,-31.23,82,91,0.22,1612032621,RU
116,punta arenas,-53.15,-70.9167,57.2,51,0,25.32,1612032407,CL
117,show low,34.2542,-110.0298,35.01,74,1,8.05,1612032621,US
118,samarai,-10.6167,150.6667,82.51,76,100,19.89,1612032622,PG
119,acajutla,13.5928,-89.8275,86.0,48,20,9.57,1612032622,SV
120,ribeira grande,38.5167,-28.7,64.4,88,40,16.11,1612032622,PT
121,holsted,55.5109,8.9187,34.0,93,90,9.22,1612032623,DK
122,mayo,38.8876,-76.5119,37.0,41,1,9.22,1612032623,US
123,hilo,19.7297,-155.09,71.6,78,90,4.61,1612032623,US
124,san sebastian,43.3128,-1.975,55.4,58,75,16.11,1612032623,ES
125,albany,42.6001,-73.9662,21.0,47,11,1.99,1612032623,US
126,veraval,20.9,70.3667,68.11,41,0,9.17,1612032624,IN
127,new norfolk,-42.7826,147.0587,52.0,69,22,1.01,1612032624,AU
128,inirida,3.8653,-67.9239,93.69,42,100,2.8,1612032624,CO
129,okha,53.5739,142.9478,-8.54,89,100,14.67,1612032624,RU
130,san policarpo,12.1791,125.5072,78.82,79,100,18.9,1612032624,PH
131,mahebourg,-20.4081,57.7,78.8,89,75,3.44,1612032625,MU
132,buenos aires,-34.6132,-58.3772,64.4,88,90,18.41,1612032604,AR
133,fort nelson,58.8053,-122.7002,-20.2,76,40,1.32,1612032625,CA
134,carnarvon,-24.8667,113.6333,80.6,83,4,12.66,1612032625,AU
135,san antonio,29.4241,-98.4936,69.01,73,90,10.36,1612032408,US
136,haines junction,60.7522,-137.5108,-9.4,77,100,0.81,1612032625,CA
137,vyborg,60.7076,28.7528,23.54,97,99,6.29,1612032626,RU
138,jepara,-5.1695,105.7044,74.21,92,96,7.29,1612032626,ID
139,sitka,57.0531,-135.33,39.2,60,75,12.66,1612032626,US
140,makuyuni,-4.7333,38.1,75.29,68,100,4.61,1612032626,TZ
141,pevek,69.7008,170.3133,-33.52,85,7,2.39,1612032626,RU
142,ibra,22.6906,58.5334,55.27,67,0,0.4,1612032626,OM
143,nador,35.174,-2.9287,62.6,77,0,14.97,1612032627,MA
144,nhulunbuy,-12.2333,136.7667,78.8,94,40,8.05,1612032627,AU
145,clyde river,70.4692,-68.5914,-20.2,76,1,3.44,1612032627,CA
146,hamilton,39.1834,-84.5333,35.01,51,90,5.75,1612032627,US
147,canutama,-6.5339,-64.3831,89.38,60,60,3.36,1612032627,BR
148,kruisfontein,-34.0033,24.7314,69.01,75,1,3.0,1612032628,ZA
149,le port,-20.9373,55.2919,80.6,69,0,12.66,1612032628,RE
150,dudinka,69.4058,86.1778,-35.36,77,0,6.42,1612032628,RU
151,toktogul,41.8708,72.9402,28.49,66,100,1.07,1612032628,KG
152,kupang,-10.1667,123.5833,79.32,85,100,19.37,1612032628,ID
153,riyadh,24.6877,46.7219,60.8,31,0,8.05,1612032541,SA
154,klaksvik,62.2266,-6.589,35.6,87,75,9.22,1612032629,FO
155,talnakh,69.4865,88.3972,-30.91,71,0,6.4,1612032629,RU
156,bredasdorp,-34.5322,20.0403,66.99,82,9,3.0,1612032629,ZA
157,pandamatenga,-18.5278,25.627,69.64,90,97,2.91,1612032629,BW
158,ust-omchug,61.15,149.6333,-29.63,79,96,8.32,1612032629,RU
159,port blair,11.6667,92.75,79.3,80,66,7.87,1612032630,IN
160,penzance,50.1186,-5.5371,48.2,93,75,32.21,1612032630,GB
161,road town,18.4167,-64.6167,78.8,100,40,6.91,1612032630,VG
162,broken hill,-31.95,141.4333,66.2,55,100,11.5,1612032630,AU
163,aklavik,68.2191,-135.0107,-22.0,76,75,3.44,1612032630,CA
164,zorritos,-3.6805,-80.6782,87.8,58,40,9.22,1612032630,PE
165,taft,31.7471,54.2088,57.2,26,20,16.11,1612032631,IR
166,aksarka,66.5606,67.7975,-19.93,85,100,10.78,1612032631,RU
167,melhus,63.2855,10.2781,30.99,94,100,1.01,1612032631,NO
168,flinders,-34.5833,150.8552,71.01,88,84,5.01,1612032631,AU
169,kasama,-10.2129,31.1808,64.54,88,100,2.73,1612032631,ZM
170,bengkulu,-3.8004,102.2655,75.49,88,100,6.26,1612032631,ID
171,yulara,-25.2406,130.9889,86.0,37,75,12.66,1612032632,AU
172,porto santo,33.072,-16.3415,62.6,94,40,6.91,1612032632,PT
173,port keats,-14.25,129.55,80.2,86,100,12.5,1612032632,AU
174,churachandpur,24.3333,93.6667,45.84,78,2,1.81,1612032632,IN
175,qasigiannguit,68.8193,-51.1922,6.8,51,40,9.22,1612032632,GL
176,kalabo,-14.97,22.6814,72.32,79,41,4.56,1612032632,ZM
177,salinopolis,-0.6136,-47.3561,80.42,86,100,11.95,1612032633,BR
178,upernavik,72.7868,-56.1549,-9.81,86,0,8.39,1612032633,GL
179,sur,22.5667,59.5289,67.17,56,0,9.89,1612032633,OM
180,dingle,10.9995,122.6711,71.4,89,100,10.71,1612032633,PH
181,pisco,-13.7,-76.2167,77.0,69,0,9.22,1612032633,PE
182,mingaora,34.7758,72.3625,43.93,47,0,6.31,1612032633,PK
183,ust-maya,60.4167,134.5333,-38.42,80,100,0.85,1612032634,RU
184,sakaiminato,35.55,133.2333,48.2,53,75,10.36,1612032634,JP
185,clarksville,36.5298,-87.3595,44.6,57,90,10.36,1612032442,US
